word
אֲסִיר
בְּחִילָה
בִּיזוּי
גֶּזֶל
גִילוּי עֲרָיוֹת
גַנָב
גְנֵיבָה
הַטְרָדָה
הַכָּאָה
הַשְׁפָּלָה
זוֹנָה
זֵיעָה
זִלְזוּל
חֶלְאָה
כָּאפִיָה
מֵדוּזָה
מוּגְלָה
מִיאוּס
מַקָק
נִיאוּף
נִיפּוּץ
נְשִׁיכָה
סוֹהֵר
סְכִיזוֹפְרֶנְיָה
עֲלוּקָה
עָרִיץ
עָרִיצוּת
צְבִיעוּת
רְעָלָה
רַעַשׁ
רֶפֶשׁ
שׁוֹחַד
שׁוֹט
שִׁפְחָה
שֶׁקֶר
תִּיעוּב
