word
אַגְרָה
אוֹרְגָנִי
גִיהוּק
גִיחוּךְ
גִיר
דַיְסָה
דְפוּס
דִקְדוּק
הִימוּר
הִסְתַבְּרוּת
הַצְהָרָה
הִתְחַמְקוּת
הִתְכַּנְסוּת
חֲלִיפָה
טַעֲנָה
כְּתִיב
לִיגָה
מַגָשׁ
מִזְוָדָה
מַלְבֵּן
מְעָרָה
מֶרְכָּזִיָה
מִשְׁמַעַת
מַשְׁקוֹף
נִיסוּחַ
סֵפֶל
קוֹטֶר
קוֹמְבִּינָה
קְלָסֶר
רָהִיט
רוֹבֶד
רִצְפָּה
שֶׁקֶף
תוֹרָשָׁה
תְּזוּזָה
תְנוּדָה
